id,text,domain,category,FinalOff,FinalCB
1.32E+18, @USERNAME  ليش ما تقراها بطريقة تانية ؟ جماعة حاولوا يكملوا فتقاعست القوات وبيئتها حتى ما تصطدم بخط بكركي الاحمر وسارعت الحركة وحزب الله بجناحيه الملتزم واليساري الكحولي الى وضع خط احمر عنفي حول عين التينة فأحس الحريريون انهم مستهدفون وبعد فقدان الامل عادوا والتحقوا بالمنظومة,Celebrities,Appearance,no,no
1.32E+18," @USERNAME  انسرقت الدولة اللبنانية ، خلال ٤٠ سنة ، ولا كلب منن فتح تمّو",Celebrities,Appearance,yes,yes
1.32E+18," | : "" اتولدت في بيت فيه 7 قطط و3 كلاب .. وبيحبوني دون مصلحة "" | فيديو",Celebrities,Appearance,no,no
1.29E+18, 5 - في طرفة عين أجي لش طيارة لو الساعة أربع الفجر 6 - وإنتي معي ممنوع تنزل دموعش ( لا دمو …,Celebrities,Appearance,no,no
1.31E+18, 5 . في طرفة عين أجيك طيارة لوالساعةأربعه الفجر 😂 6 . إنتي ومعاياممنوع تنزل دموعك ! ( لا دموع بعد اليوم ) 7 . أحس حياتي ضلمةمن غيرك انتي النوربحياتي 😂 8 . مستحيل وحدةتقدر تجذبني بعدك 😂 😂 😂 9 . أنا حاحققق ليك كل أحلامك 😂 😂 😂,Celebrities,Appearance,no,no
1.29E+18, البعض سيعتقد ان الاعتذار ضعف ولكن رغم أنف الجميع الاعتذار صفة جدا جميلة تتحلى بها الشخصية القوية فقط ك فهنا …,Celebrities,Appearance,no,no
1.32E+18, التنمر على ازياء المشاهير هنا شيء جداً مقزز متى اشوف الناس وخصوصاً العرب الجرب يتصالحوا مع انفسهم ويتركوا الناس واذواقهم مسوين انهم مختمين الموضة بتنقصهم من ستايلات غيرهم ياتقولوا كلام كويس ياتسكتوا,Celebrities,Appearance,yes,yes
1.29E+18, التنمر على حسين الجسمي كثير مخيف وحقير جدا . يكفي,Celebrities,Appearance,no,no
1.29E+18," الخنزير و للنظام السوري افهموها بقى ، ما حدا بدو ياكن ولا حدا بدو مساعداتكن",Celebrities,Appearance,yes,yes
1.29E+18, الرائع القافله تسير والكلاب تنبح سر في طريقك ودعك من ترهات العقول,Celebrities,Appearance,yes,yes
1.29E+18, العراقيين اول من تنمرو على و اول من دعموه بهاشتاك احنا شعب عجيب غريب متناقض ومنافق بشكل مخيف,Celebrities,Appearance,no,yes
1.29E+18, الكلب داج الجميل رفيق كارل في أغرب رحلة مزاجك أي داج اليوم ؟,Celebrities,Appearance,yes,yes
1.32E+18," اللي بدو يزعل يزعل . النبي ( ص ) بريء منكم ومن همجيتكم وحماقتكم وجهلكم . قبضة الثورة شو خصها ؟ ساعة بتحرقوها كرمال سعد وساعة لعيون النبي وساعة لعيون بري وساعة حزب الله .. يا بقر ، مش هاي القبضة اللي كنتوا كلكن عّم تغنولها متحدين قبل ما يفرقوكم الزعما ؟",Celebrities,Appearance,yes,yes
1.32E+18, انا من الأشخاص يلي نزلو ب ضد من اعطتيته صوتي في الإنتخابات ع اساس فل سعد الحريري و ستجاب لصوت الناس . ووقفت ما شفنا حدا ب عين التينه و بعبدا ليه ؟ ؟,Celebrities,Appearance,no,no
1.32E+18, انطلاق المسيرة النسوية الى عين التينة لمحاربة مجلس لاشرعي لكل الاصوات يلي دايماً بتقول وينكن ما بتثورو على عين التينة من قلن تفضلو ورجونا وجكن ✊ 🏻 🇱 🇧,Celebrities,Appearance,no,no
1.29E+18, اوهانيان : كما الحكم مسوؤلية فإن الاستقالة في شكلها واسبابها مسوؤلية أيضا,Celebrities,Appearance,no,no
1.29E+18, إذا الحكومة كلبه فالطبيعي لما يستقيل منها كلب نقول الله لايردك مس نتغزل فيه ونقول الحكومة نحس مابتلبق لسعادة معاليك …,Celebrities,Appearance,yes,yes
1.31E+18, أجمل حقيبه حقيبة السفر وخرا عليكن يا كلاب لبنان يا اوباش يا مجرمي …,Celebrities,Appearance,yes,yes
1.32E+18," أرأى المعرضين للشيخ لماذا المسلمين الحق التفوا حوله ، نحن نريد رجالا تدافع عن دين الله وعن المسلمين ، لا من يجعلهم يطأطئون رؤوسهم للقاصي والداني",Celebrities,Appearance,no,yes
1.32E+18," بالفيديو - تشن هجوماً على مسلسل جديد بسبب مشهد "" مقزز """,Celebrities,Appearance,yes,no
1.32E+18, بدء التجمع من أجل المسيرة النسائية التي ستتوجه إلى عين التينة بريد الصفحة,Celebrities,Appearance,no,no
1.32E+18, بدنا السنيورة بعد ىزير مالية تيمشي الحال ... شي مقرف جدا,Celebrities,Appearance,yes,yes
1.31E+18, بري استقبل في عين التينة سفير فرنسا في لبنان برونو فوشيه,Celebrities,Appearance,no,no
1.31E+18, بري يستقبل نائب رئيس مجلس النواب ايلي الفرزلي في عين التينة @USERNAME ,Celebrities,Appearance,no,no
1.32E+18," بس للتذكروا ليس نزل الشعب ، لأن يلي عم يشحد يرجع على الحكومة ابن كلب .",Celebrities,Appearance,yes,yes
1.31E+18, بشتاقلك كل رفة عين وكل ما دق قلبي بحبك .. 💛 @USERNAME ,Celebrities,Appearance,no,no
1.31E+18, بشتقلك كل رفة عين وكل مادق قلبي بحبك 💖 💗 💗 @USERNAME ,Celebrities,Appearance,no,no
1.29E+18, بشرفي وبذمتي كل واحد حجه وجرح الكبير هذا واحد كلب ابن ستين كلب يرحولك فدوه كلهم ابو علاوي واحنا بضهرك …,Celebrities,Appearance,yes,yes
1.32E+18," بعد اغتيال الرفيق التف جمهوره حول ابنه سعد ، وهم يتمنون أن يكون في زمنه عهد السعد ، ولكن للأسف لم يكن اهلا لذلك ، لقد كان بعيدا كل البعد عن السياسة ، فالتف حوله الحيتان وتناوشوه يمنة ويسرة الأمل",Celebrities,Appearance,yes,yes
1.31E+18, بلكي طرقهم عين دفع رباعي جابهم كتاف 👀,Celebrities,Appearance,no,no
1.32E+18, بيقولوا شوفوا القضاء المسيس طب مين عين القضاء ؟ مين وافق عالقضاء ؟ مين مضي الورقة ؟ الاوادم المزعومون شو كانوا ناطرين ليحاربوا الفساد ؟ و اصلا شو بعدن لهلئ ناطرين ؟ ماحدا دمر لبنان قد زعمائكم لا انهيارنا مش بلش بحصار اقتصادي انهيارنا بلش بالفساد الموجود بالدولة,Celebrities,Appearance,yes,no
1.31E+18," تشارك متابعيها أحدث صورها من شهر العسل في منطقة وادي الرم في ، وتعلق : "" صباح السعادة ، لكل قلب لا يحمل إلا الحب لمن حوله ، صباح الأشياء الجميلة التي نعجز أحياناً عن إدراك روعتها "" @USERNAME ",Celebrities,Appearance,no,no
1.32E+18, ثواني ؛ ايه كرش حتشبسوت اللي طلع فجأة دا !,Celebrities,Appearance,yes,no
1.29E+18, حسين الجسمي اكبر عن تفاهات كلاب وكر الوجبه وشويه الخرفان في تركيا وبعض الدول الاخرى حسين الجسمي ايقون …,Celebrities,Appearance,yes,yes
1.32E+18, خرى عليكن وعزعمأكن شعب كلب حقو فرنك شو خصو هل معتر عم بكنيس بوج محلو ينصاب من واحد جحش إبن ألف كلب ؟ ؟ ؟ الله يلعنكن ويلعن هل بلد المنحوس,Celebrities,Appearance,yes,yes
1.31E+18, خمسة كلاب بقوى خارقة في مهمة للدفاع عن الأرض وقت العائلة صار أجمل على,Celebrities,Appearance,no,yes
1.29E+18, راح نقول جملة توفيك حقك تبقى الاسود اسود والكلاب كلاب نعرف من تكون نحبك لا تبالي لكلامهم …,Celebrities,Appearance,yes,no
1.32E+18, رسمياً هول الهاشتاغات لليوم تعوا لنفضها سيري انت وهو كلكن اعور من بعض كل واحد يروح يغطي عوراته ( وكل واحد حسب نسبته ) لأن كل واحد عنده عورة بمحل وتعو هوجوا على بعض,Celebrities,Appearance,yes,yes
1.31E+18, رئاسة المجلس النيابي : كل ما ينشر وينسب الى مصادر عين التينة في الموضوع الحكومي غير صحيح على الاطلاق وبالاساس,Celebrities,Appearance,no,no
1.32E+18, زعران ... كلاب السلطة ... كلاب كراسي ... كلاب مصاري ... وما رح يرجع ... ✌ 🏼,Celebrities,Appearance,yes,yes
1.31E+18, سِلسلة من اللقاءات في عين التينة,Celebrities,Appearance,no,no
1.29E+18, سلط اللَّه عليك الأسقام التي ليس لها دواء والأوجاع التي لا راحة منها إلا بالموت يا كلب العرب الراقص على أشلاء ودماء مصر,Celebrities,Appearance,yes,yes
1.32E+18, سناباتها اليوم ممتعه عكس أمس وقبله مغير تصور المسبح لا اليوم ماشاء الله تقول لي شهر ماصلحت قهوة عربية أنا مت على ترامسها تجنن 😭 ماادري من وين تشتريهم يهبلون حتى صحن التمر روعه .. ونيس قصرها بالنهار الواحد مايمل بس يتمشى فيه بس بالليل رعب لانه حوله حدائق ونخيل 👀,Celebrities,Appearance,no,no
1.32E+18, شفيه الغبية عرضت كتوفها ! ! ! مو كانها صايره دب 🤔,Celebrities,Appearance,yes,yes
1.31E+18, شكلك لما تفض خناقة بين زوجتك وإخواتك,Celebrities,Appearance,no,no
1.32E+18," شو هالبلد يعني بيستدعو وبوقفو الي عم يحكي عن الفساد . حطو على عين هالشعب وجيبو شي حرامي او عليه شبهات بالفساد ، اجهزه وقضاء تحت أمر سياسين وفاسدين",Celebrities,Appearance,yes,yes
1.29E+18, صوتك واغانيك الوطنية لمصر وجعت الكلاب فلا تحزن كلنا المصريين نعشقك ونعشق,Celebrities,Appearance,yes,yes
1.32E+18, ضياع كل ما حققه للبنان والانقلاب على شرعية الدولة ومؤسساتها ونهب لمقدرات الخزينة تحت عين وسمع ! ! !,Celebrities,Appearance,no,no
1.32E+18, ع اللي شعارها يا تافه انت و هي يا عرصات يا ولاد الحرام نبحوا و جعروا و شنهقوا هذا السلاح لا يهزمه نباح كلاب مسعورة,Celebrities,Appearance,yes,yes
1.32E+18, عين في السلايد وعين في المهرجان 💔,Celebrities,Appearance,no,no
1.29E+18, فنان العرب الرائع أسّـتمر في عطائك القافل تسير والكلبُ تنبح,Celebrities,Appearance,yes,yes
1.32E+18, فيديو متداول لاحراق بنك بيروت في عين الرمانة,Celebrities,Appearance,no,no
1.32E+18," فيديو مقزز فعلا .. هيدي حثالة وزعران وبالآخر بيقلك سنية سنية , , متل ما زعران ختموها من زمان بـ شيعة شيعة .. استهلاك العصب الطائفي رح يحرق كل المتاجرين فيه قريبا",Celebrities,Appearance,yes,yes
1.29E+18, قالو الجمال في الروح 🤍 عشان هيا اللي باقية مهما هتعدي السنين قلت الجمال إنك تشوف نفسك جميلة بأي شكل في كل عيب اختلاف,Celebrities,Appearance,no,no
1.32E+18, كتير مقرف ما يحدث الآن داخل مقرف وحزين ومحبط واقعنا مع هيك أحزاب,Celebrities,Appearance,yes,yes
1.32E+18, كرش ودهون : كواليس جلسة تصوير تكشف الوزن الحقيقي لمريم حسين,Celebrities,Appearance,yes,yes
1.29E+18," كل البشر يتأثرون بالكلام اللي ينقال ، بس مثل مايقولون نبح الكلاب لايضر السحاب احنا نشوفك جبل ، ومايهز الجبل ريح ♥ ️ ⁩ …",Celebrities,Appearance,yes,no
1.31E+18, كل شي كان ماشي غلط لين وصل ارتيتا غير شكل ارسنال حرفيا حقق بطولتين بعاهات وكان سبب رئيسي في تجديد عقد النجم الاول,Celebrities,Appearance,yes,yes
1.32E+18, كلاب السلطة على صباطي,Celebrities,Appearance,yes,yes
1.32E+18, كلكن كلاب و بلطجية عم تلعبوا فينا و بمصيرنا يا أولاد الحرام ! الله يريحنا منكم 🙏 🏻 🙏 🏻 🙏 🏻,Celebrities,Appearance,yes,yes
1.32E+18," كن عظيمًا في عين نفسك ، حتى لايكسرك شيئاً في هذه الحياة ❤ ️ 🌕",Celebrities,Appearance,no,no
1.32E+18, كيف ألو حدن عين يقول : إنتهى صراع الأسلام السياسي السنّي و الشيعي في المنطقة . كيف ؟ مين حيعتذر لأجيال هالمنطقة ؟ مين حيعتتذر لتخلفنا ١٠٠ عام ؟ مين حيعتذر للجيرة ؟ من حيعتذر للمصاهرة ؟ مين حيعتذر لهزيمته الشنعاء ؟ مين حيعتذر لتقدم أسرائيل ١٠٠ عام فوق ال ١٠٠ يلي عندا ؟ ! محدا,Celebrities,Appearance,no,no
1.29E+18, كيلو البقر بـ 35 ألفاً والغنم بـ 40 ألفاً بدءاً من منتصف الجاري : اللحم المدعوم يأكله التجار أم المسـتهلكون ؟ …,Celebrities,Appearance,no,yes
1.32E+18," لاقت اغلبية سنة لبنان الثورة في ١٧ تشرين ، وتنازل الرئيس @USERNAME  عن السلطة تلبية لمطالبهم ، اليوم يعود الجزء الأكبر من الأغلبية السنية لتلتف حوله ، مدركة من درس الثورة ان شعار لا يعني أن تكون رئاسة مجلس الوزراء مكسر العصى وتقف الثورة على أعتاب الرئاسات الباقية",Celebrities,Appearance,no,no
1.29E+18, للسياسيين : اخرسوا انضبوا سمّموا لأنفسكم ! @USERNAME ,Celebrities,Appearance,yes,yes
1.29E+18, لو تفكر دقيقتين رح تشوف ان جمهورك معاه حق انت بومه ارجع دب امورك كانت طيبه,Celebrities,Appearance,yes,yes
1.32E+18, لو دول أوروبا بتتفرج دلوقتي هينشونا عين متينة .. ربنا يستر,Celebrities,Appearance,no,no
1.31E+18, ما حقيقة المعلومات المنسوبة إلى عين التينة في الشأن الحكومي ؟,Celebrities,Appearance,no,no
1.31E+18," ما شاهدناه من مناظر مشوهه للسياحة في رحلة شيء مؤسف ويندى له الجبين ، فك …",Celebrities,Appearance,no,no
1.29E+18, ماادري ليش كل هالخوف معقول الشعب جاهل ومختل وجبناء بالشكل هذا مو قادرين يتجرأون يسبون حزب,Celebrities,Appearance,yes,yes
1.29E+18, مابتتزوجه حتى يروح الكرش و هون بيعيش ابو بشير صراع بين حبه لنادين و حبه لكرشه,Celebrities,Appearance,no,no
1.32E+18, مسيرة الى عين التينة لمحاربة مجلس لاشرعي,Celebrities,Appearance,no,no
1.32E+18, مسيرة نسائية سلمية الى عين التينة,Celebrities,Appearance,no,no
1.32E+18, مسيرة نسائية من فردان الى عين التينة اليوم الساعة 5 بعد الظهر,Celebrities,Appearance,no,no
1.32E+18, مسيرة نسائية من فردان ل عين التينة اليوم التلاتا الساعة 5 بعد الضهر,Celebrities,Appearance,no,no
1.32E+18, مش حسد ولاضيقة عين بس اقل شي تمسك المايك وتغني الحياة حلوة وتخلي الكرة الارضية كلها تسمع صوتها 🥁 لانو ٢٠٢٠ كانت عليها حلوة ولاقت مين يضحكها ... ان شاءالله تكمل معها هيك,Celebrities,Appearance,no,no
1.32E+18," من احرق قبضة الثورة في وسط بيروت ؟ مجرمون أيا كانوا ، لأي فريق كانوا ، كلاب اي زعيم كانوا ، فهم مجرمون يستقوون على شعار الثورة ، نذكركم العام الماضي احرقتوها وتم صنع غيرها ، هذا دليل افلاس لسياساتكم الفاشلة",Celebrities,Appearance,yes,yes
1.32E+18, من المسيرة النسائية الى عين التينة ضد مصادرة مجلس النواب لأكثر من عقدين وعدم تطبيق القانون وتعطيل مجلس الشعب .,Celebrities,Appearance,no,no
1.29E+18, من ساعة ما غنيت لمصر يا نحس واحنا طالع عين ابونا ومش ملاحقين المصايب غنى لاسرائيل يا عم وارحمنا,Celebrities,Appearance,yes,yes
1.32E+18, من يستغرب أنّ الحريري كلّف بأصوات لرموز الوصاية عليه أن يعرف أنّ فشل الإنتفاضة كان نتيجة سحب الشارع الشيعي من الإنتفاضة بالترهيب و الترغيب و الطائفيّة لتحويل الإنتفاضة اللبنانيّة عرجاء تستهدف ظاهريا الشيعة و ليس العكس .. عودة الحريري من بركات حزب السلاح . !,Celebrities,Appearance,no,no
1.29E+18, منو ملاحظ وياي دشداشة كأنها درع على شكل دشداشة,Celebrities,Appearance,yes,yes
1.32E+18, موظف البنك لما ينطلب منو سرقة الودائع وتحويلا بكون شريك بالسرقة .. الدكنجي لما يغلا ع جارو الفقير اكيد بكون بلا ضمير ... البوليس لما يقوص شي عين شخص هيدا انسان رائع .. حضرة المخرج اذا طلبت من الممثل يضرب راسو بالحيط . اكيد لح يعملا .. بالمختصر التنين شركا .,Celebrities,Appearance,no,no
1.31E+18, ناديا بساط تعلن إصابتها بكورونا : ” فيروس مخيف ومؤلم “,Celebrities,Appearance,no,no
1.29E+18, هذا هدية صغيرة لكل الكلاب يلي يحكوا عن تاج راسهن اليسا ملكة الغناء العربي اللي صار عالمي,Celebrities,Appearance,yes,yes
1.32E+18, واحدة بقميص نوم و التانيه شغلعه رقاصات و التالته كانها بطه في فستان قد الدني ايه القرف ده كل سنه مقرف,Celebrities,Appearance,yes,yes
1.32E+18, وزراء راضيين عنهم رؤساء المافيا يعني كلاب مطيعة,Celebrities,Appearance,yes,yes
1.29E+18, وصول النائب تيمور جنبلاط الى عين التينة على رأس وفد من اللقاء الديمقراطي,Celebrities,Appearance,no,no
1.29E+18, وينك واحش عينيا 😭 🥺 اشتقتلك @USERNAME  💔,Celebrities,Appearance,no,no
1.31E+18, يا أصحاب السمو : نلتم بجدارة رتبة كلب @USERNAME ,Celebrities,Appearance,yes,yes
1.32E+18, يا عين عالمكلّف والمكلف به و المكلّف له ! ! تريو السعادة والانشراح !,Celebrities,Appearance,no,no
1.29E+18, يدعم الفرقه الماسونيه الشاذه لاحظوا المثلث لاحظو رمز المثلث والعين حاضر في حركاتهم واغانيهم وحفلاتهم …,Celebrities,Appearance,yes,yes
1.32E+18, يعني بالمشبرح خرية كلب ومقصومة .,Celebrities,Appearance,yes,yes
1.29E+18," يعني ما اتخيل الحياة بدون صوتك ، ماكو اطيب من كلبه وحبه للوطن العربي كله 💕 هذا الي سووه مو اتهام جان للمزح فقط 💕 …",Celebrities,Appearance,no,no
1.29E+18, يمكن أنا الوحيدة اللي أحب نجوى في شكلها القديم 💔,Celebrities,Appearance,no,no
1.32E+18," : نائب فشل في ماراثون التكليف . فتحول الى "" روبن هود مزيف "" فنسج بطولات زائفة على حساب ويُصدرها للناس كدعاية انتخابية مبكرة . وخلفه حيتان طامعين بتأسيس شركات هاتف نقال . وبعض الاعلاميين الذي وعدهم باحتكار الاعلانات عندما يصبح على رأس ( هيئة الإعلام والأتصالات )",Celebrities,Intelligence,yes,yes
1.29E+18, @USERNAME  الانسان الفنان الراقي المحترم لاتبالي الى تفاهة التافهين,Celebrities,Intelligence,yes,no
1.29E+18, @USERNAME  لماذا هذه النماذج الفاشله من البشر . هل لا تعلمون أن بشر مثلنا أيضا عندهُ مشاعر يتأذى,Celebrities,Intelligence,no,no
1.29E+18, @USERNAME  من أروع و أرقى الفنانين لي يصرا هدا قمة التخلف فالتنمر و التجريح ليس مزاح,Celebrities,Intelligence,yes,no
1.32E+18, @USERNAME  @USERNAME  هو عزل نفسه عندما رفض التنحي وضم صوته لأصوات الناس . الشعب صوت له وأوصله الى أعلى مناصب الحكم . أكثر من هيك شو المطلوب ؟ ؟ ؟ اليوم التيار فشل وعليه العودة الى المعارضة إذا كان فعلاً شريفاً . البقاء في السلطة يعني المشاركة بالفساد .,Celebrities,Intelligence,yes,yes
1.32E+18, @USERNAME  @USERNAME  @USERNAME  غبي وتافه جداً,Celebrities,Intelligence,yes,yes
1.31E+18, @USERNAME  @USERNAME  شو تافه وغبي 🥴 🥴 🥴 👑 وداعسي اكبر راس,Celebrities,Intelligence,yes,yes
1.32E+18, @USERNAME  @USERNAME  حاكم فاشل مسؤول عن الكاوارس المالية والاقتصادية لازم يحاسب ويعاقب بالقليلة عن يلي قالو انو الليرة ببخير ودفع مبالغ لشركات اعلانات وعلاقات عامة ووسائل اعلان لتلميع صورته من أموال الدولة وغطا الفاسدين والطبقة السياسية المسؤولة عن الانهيار,Celebrities,Intelligence,yes,yes
1.32E+18, @USERNAME  ما تلوم اتنين مجرمين حرب خونة فاسدين .. لوم اللي سامحلن لانو لو عرفوا حدودن ما تطاولوا وتكبروا ... لوم الواطي الإنبطاحي اللي إجى يتنازل عن ما تبقى من صلاحيات .. لوم إلى رجع يدّبل عيونو لعون وجبران ويقلن شباك لباك غبي السياسة بين ايديكم .,Celebrities,Intelligence,yes,yes
1.32E+18," @USERNAME  @USERNAME  @USERNAME  @USERNAME  @USERNAME  هذا الي ناقصنا نجيب عمال من دول متخلفه و تحكمها أحزاب ارهابيه ، و اللبنانيين الي موظفين بالسعودية الدور عليهم يرجعو لديرتهم ان شاء الله .",Celebrities,Intelligence,yes,yes
1.32E+18," @USERNAME  @USERNAME  شدتني هادي التغريدة القذرة فحبيت ابحث عن من هي لعدم سماعي عنها من قبل وللاسف البحث أظهر ما هو أقذر من التغريدة اعلاميه تبحث عن الشهره بتتبع فضائح خلق الله "" وهذا يدل ع انك حثاله وقذره بحق نفسك وهذا جعلني اتشفع لكي "" بعدم الرد عليكي الا بالله يشفيك يا حثالة خلق الله",Celebrities,Intelligence,yes,yes
1.30E+18, @USERNAME  @USERNAME  @USERNAME  قاعدين تشرشحونا ترى مطلعينا شعب اهبل وخفيف وأحنا بيننا مليون دكتور ومهندس ومفكر,Celebrities,Intelligence,yes,no
1.32E+18," @USERNAME  باسيل ، وزير طاقة مخلوع فاشل ما عرف يجيب الكهرباء لأنو ما خلونا 😬 😬",Celebrities,Intelligence,yes,yes
1.31E+18, @USERNAME  @USERNAME  فهملك حمار ؟ ! ماتفهم لان تخصصكم القتل واغتصاب بنات الناس يارجال ايام عفاش وهو مجرم ماقد اقتحموا بيت مرة وسجنوها بشكل هذا . معاكم فلة خاصة تسجنوا بها بنات الناس ؟ ! القضية في النيابة و مسجونة في مكان غير معلوم . اتفوا عليكم وعلى من ناصركم,Celebrities,Intelligence,yes,yes
1.29E+18, @USERNAME  الاطفال و التافهين هيني اللي بيسمعوا الاغانية الطفولية تبع نانسي او ما بسمح ابدا تقارنوا ملكة الاحساس فيها,Celebrities,Intelligence,yes,yes
1.29E+18, @USERNAME  @USERNAME  الاوتوتيون عم بيقلك دخيلك اسمعيني يا سبيكة بس حوش بتضلكن بهايم وحمير,Celebrities,Intelligence,yes,yes
1.32E+18," @USERNAME  😂 😂 .. انا شفت اغبياء بس غباء مركب زي اللي عند "" لمعة العين "" الرخيصة جدا ابد ماشفت",Celebrities,Intelligence,yes,yes
1.32E+18," @USERNAME  @USERNAME  @USERNAME  @USERNAME  @USERNAME  @USERNAME  مش غلط نضوّي على غباء ووباء أهل السلطة ، دولة بتسوى صرماية ...",Celebrities,Intelligence,yes,yes
1.32E+18, @USERNAME  ي خي على كثر اللايكات الليي متفقين انها غثيثه وتافهه بغض النظر عن اللايكات كثير متفقين انها تافهه تتابعونها ليه ! ! خلاص انفلو ترجع لمزبلة السوشال ميديا تسوي مثل عشان ترجع مشاهداتها بس انتم خليتو اللي م يسوى التالي من الغنم يسوى,Celebrities,Intelligence,yes,yes
