id,text,domain,category,FinalOff,FinalCB
 text,domain,category,FinalOff,FinalCB
 الرءيس المصري عبد الفتاح السيسي تفقد الامه العربيه والاسلاميه زعيما عظيما بعد عمر حافل بالعطاء والانجازات في خدمه شعبه وامته ونصره قضاياها,News,Racial,no,no
 وفي مباراه امام في الدوري الانجليزي فشل في ابعاد الكره الي زميله ليجدها المهاجم القادم من الخلف باتريك بامفورد ليحولها الي هدف في مرمي اليسون,Sports,Intelligence,no,no
 الميركاتو الصيفي فشلوا بالتوصل لاتفاق مع سيتي لضم الظهير الايسر جمال ليويس بوصله متج,Sports,Intelligence,no,no
 يوفنتوس اكثر شعبيه في العالم قبل ظهور الدوري الاسباني بنجومه سمعت من معلق عربي يقول يوفنتوس مهد كره القدم,Sports,Racial,no,no
 الحقيقه يالي منحاول نهرب منا منا مناح قطعت جمعه والصور بعدا مانتست ومابعتءد تنتسي والابشع مافي كلب واحد توقف,News,Appearance,yes,no
 فشلت الثوره نعم و الكل معترف بهالشي بس فشل الثوره ع الفساد ب لبنان هو شي محزن و مءسف مش شي بخليك تنبسط انو واله من الاساس قلت بدا تفشل و صار متل ما قلت اذا طلعتو و نزلتو الف مره انتو عايشين بلبنان و منضرين من هالطبقه الفاسده قد ما كابرتو و صبرتو,Celebrities,Intelligence,no,no
 عندما تقراوا المنشور اكون انتحرت وقتلت بناتي شاهد سوري قتل بناته الثلاث وانتحر,News,Racial,no,no
 بعد الارتفاع الحاد لاصابات كورونا الرزاز يصرح بشان عوده واغلاق القطاعات,News,Racial,no,no
 طبعا فضل عليك وعلي اجدادك ولو نسيت في قلب او كسوه مكه المكرمه الي كانت بتطلع كل سنه من قبل اكتشاف البترول قبطي معنها مصري ياجاهل وازكي اخواتك يعني شرف لي اني قبطي ثالثا والاهم اخوالك ياحمار وارجع وادرس تاريخ هتلاقي كلامي 👍 🏼,News,Racial,yes,yes
 رءيس الوزراء البريطاني بعد اصابته سابقا ب يقول انه تعافي وبصحه تضاهي كلب الحام نحن نكره الكلاب عموما ونحب الضباع اكثر,News,Appearance,yes,yes
 قالها الذين بخلوا باولادهم علي الحسين ذبح يزيد اولادهم و الذين بخلوا باعراضهم واموالهم اغتصبت نساءهم وسلبت اموالهم هذه معادله بالتاريخ اليوم لو ان المقاومه بخلت باولادها واموالها لذبح ونهب الجميع لذلك ولكي نبلغ الفتح فانا لن نتخلف عن نصره معسكر,News,Racial,no,no
 وصول الناءب تيمور جنبلاط الي عين التينه علي راس وفد من القاء الديمقراطي,Celebrities,Appearance,no,no
 مدري هو احول ولا انا ذكي,Gaming,Appearance,yes,yes
 الجزيره يهزم الوحدات بهدف قاتل في الدوري الاردني تقرير المباراه,Celebrities,Racial,no,no
 لم يهنء الصغير كثيرا تحت اشجار الزيتون لم تطا اقدامه ثالث الحرمين فتلمس جبهته ساحه المسجد الاقصي لم يله ويلعب مع الصبيان في شوارع فلسطين وبدلا من ان تحمل يده الورود في صباه كان يحمل الحجاره دفاعا عن ارض سلبها المحتل قبل ان يولد هو باربعين عاما,News,Racial,no,no
 انت شكلك ماتعرف الايطالين ترا عقليتهم تفقع الكبد كالبهاءم يعني مثلن تروح تعلمه مايفهم كريستيانو بمستواه هذا لو مع فريق اخر كان حق دوري الابطال في كل موسم اي وعود اي بطيخ الكل يعلم ان يوفنتوس لا يمتلك ظهير ايمن و ظهير ايسر ومهاجم,Sports,Appearance,yes,yes
 تحويل ايا صوفيا لمسجد يجرح شعور المسيحين ولا يجوز الصلاه فيه اما التطبيع مع الاحتلال الاسراءيلي شي عادي,News,Racial,no,no
 ياملكنا يامليك العرب يا حامي ديار المسلمين خادم الكعبه الشريفه والمدينه حيث سيد المرسلين بارك اله في خطاك سير والمولي رعاك اليوم ولبكره علي طول السنين,News,Racial,no,no
 سياسه غبيه جدا في استقطاب العيبه عدم الدخول في مزايدات جعل الفرق تفوز بافضل العيبه المحلين والصغار في السن وهو ماسيعاني منه الهلال مسقبلا اذ ان اغلب لعيبته فوق سنه سنفقد ماجعل الهلال متسيد الساحه منذ سنوات وهو جوده الاعب المحلي,Sports,Intelligence,yes,no
 فيديو لاول تظاهره مساء تشرين الاول في ساحه رياض الصلح كانت الاعداد قليله ولكن توازيا كان هناك تجمع علي جسر الرينغ حيث كانوا يحاولون قطع الطريق واقناع الناس لانضمام اليهم,Celebrities,Racial,no,no
 اذا وقف عامل النظافه عند سيارتك فهذه حيله انسان فقير ارهقته الدنيا ومنعته الكرامه ان يمد يده اليك كن انت المبادر وساعده,News,Racial,no,no
 وما علاقه اليهود بالصهاينه ‼ ️ وهل كل اليهود راضيه عن اغتصاب القدس ‼ ️ لاتخلطون الاوراق,News,Sexual,no,no
 الفقد شين وفراق الاخ كسر لن يجبر الا بامر اله 💔 💔 💔 قبله الوداع واخر القبله تظل في الذاكره ويظل شعورها لاخر نفس 💔 💔 اله يرحمه ويغفر له يارب و الهم اجعله خير خلف لخير سلف واجمع قلوب شعبه علي حبه ️,News,Racial,no,no
 مستوطن يعتدي بالضرب علي فلاح فلسطيني جنوب,Celebrities,Racial,no,no
 لازم ولابد علي الجكومه انها تستمع لطلبات الناس ومشاكلهم ونسب الفقر التي زادت بشكل مخيف مفيش سيوله نقديه في البلد والكل متاثر بحاله الركود الحاصله منذ فتره ولازم النظام يراجع قرارته السياسيه والاقتصاديه بسرعه ولازم الاحزاب تمارس سياسه بحريه وامان بدون اعتقالات,News,Appearance,no,no
 صحيفه الوءام خادم الحرمين يوجه باقامه صلاه الغاءب علي الشيخ صباح في الحرمين عبر تطبيق نبض,News,Racial,no,no
 رءيس المصرين رغم انف اعداء وخونه الاوطان,News,Appearance,no,yes
 رساله لكل من يلمع لهاربه عصيانها وتمردها علي دين اله عزوجل 👇 ﴿ ليميز اله الخبيث من الطيب ويجعل الخبيث بعضه علي بعض فيركمه جميعا فيجعله في جهنم اولءك هم الخاسرون ﴾,Celebrities,Racial,no,no
 السودان والشام والعراق وشاركت في اكثر الفتوحات وكان لجهينه دور واضح في احداث التاريخ العباسي في ثورات الطالبين في الحجاز ولا سیما ثوره محمد بن عبد اله بن الحسن ذي النفس الزكيه حينما خرج علي الخليفه ابي جعفر المنصور من رضوی بينبع اذ ساندته مسانده كبيره,News,Racial,no,no
 رساله الي خلص بقا هبل بشرفكن عشواي حنصدق من وراكن انو و مناح وطنين,News,Intelligence,yes,yes
 سيرين عبد النور ما بدي حدا يحبني نكايه,News,Racial,no,no
 اله يلعن ميلان و يوفنتوس لو صارت,Sports,Racial,yes,yes
 محمد جواد ظريف وزير خارجيه جاي بكرا بس الفرق انو ولا شيعي حيجي يقلو انتدبونا متل ما قالو جماعه السياده ل 🤷,News,Sexual,no,no
 عين ماصلت علي النبي,Sports,Appearance,no,no
 الامبراطور ونشوان احد اغرب الاباطره كان يكرس معظم وقته في الهو والشراب وعند السكر يصبح عاريا ويلون وجه ويقتل الناس وذات مره سءل امراه عن ابن السماء فقالت انه مجنون ولا يمكن اعتباره ابن السماء فقطع راسها وكان عنده سكره وزيره يحضر له مساجين كي يعدمهم بدل القتل العشواءي,News,Intelligence,no,no
 ياسمين عبد العزيز تشك الجمهور بحملها باحث صوره لها,Celebrities,Racial,no,no
 راي د محمد المقاطع و د عبيد الوسمي في شان حاله الريبه التي لحقت بالقوانين التي تم اقرارها امس ولا بد من اعاده النظر بها,News,Racial,no,no
 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 🇹 🇷 الامه والعزه و الشرف باقيه تمد رغم انف الاعراب الصهاينه 🇦 🇪 💩,News,Appearance,yes,yes
 تحيه عظيمه من ارض الكنانه لحبيب المصرين نحيطكم علما بان قلوبنا تقشعر عند سماع صوتك العزب والحنون فنتمني اغنيه بعنوان يعني ايه كلمه وطن اخي الكريم صوتك الجليل تلتف حوله قلوب المصرين اخوك مهيب الركن بيبرس,Celebrities,Appearance,no,no
 انا اتصدمت ازاي دا يحصل في بلد الشواذ والدعاره 😂,News,Sexual,yes,yes
 هما كده جابوا اخرهم هما جماعه من الملحدين الشواذ الخمورجيه الشمامين قاهر الاخوان,News,Sexual,yes,yes
 حرق مجسم الثوره من قبل مناصري الحريري,Celebrities,Racial,no,no
 كلكم كلاب 🐕,News,Appearance,yes,yes
 توضح حقيقه مرض زوجها كسر مضاعف في الساق,Celebrities,Racial,no,no
 ناتنياهو الرءيس ترامب قضي علي اكبر ارهابي في العالم وهو قاسم سليماني,News,Racial,no,no
 تبني الملكه المتحده موقفا متوازنا ومحايدا بخصوص شرقي المتوسط يعد مصلحه مشتركه لدعم جهود الحوار والتعاون,News,Racial,no,no
 يقتل الاسود لتاكلنا الكلاب العريان,News,Appearance,yes,yes
 حلقه جديده من تاتيكم بعد قليل مع محمد عبد الحميد هل تغير التوازنات في بعد رحيل الشيخ صباح الاحمد امير شاهد البث المباشر هنا 👇,News,Racial,no,no
 طبعت والا ما طبعت اليهود الخنازير الي زوال قريبا,News,Appearance,yes,yes
 بينها ان شاء اله بايدن يستعين ب كلمات عربيه في مناظرته مع ترامب,News,Racial,no,no
 وزير الخارجيه الايراني محمد جواد ظريف يصل الي العاصمه البنانيه بيروت في زياره سيلتقي فيها كبار المسءولين البنانين,News,Sexual,no,no
 واله الي بتعملو اشي مقرف ومخزي بتحاولوا انكم تبينوا انكم بتحبو اسراءيل اكثر من الاسراءيلين نفسهم وهم ولا رح يعملوا عشانكم من الي بتعملو الهم,News,Appearance,yes,no
 مقتل جنود تركيا في بعد قصف طيران مجهول معسكر تركي 🚀 🔫 ✈ 🚁 💣 🔥,News,Racial,no,no
 الهم زد وبارك مقتل عناصر من الحرس الثوري بهجوم جنوب شرقي المنطقه,News,Racial,no,no
 ليست قضيه فلسطينيه بل هي قضيه كرامه امه عربيه اسلاميه لن نرضي ما دمنا علي وجه الارض ان تصبح ارضا لصهاينه,News,Racial,no,no
 الاقتصاد التركي يعيش اسوء مرحله في تاريخيه لوجود اردو المراوغ الذي فشل في قياده واصبح يعلن عن اكتشافات وهميه لخداع الناس بحل المشكلات مثلا اكتشاف الغاز,News,Intelligence,yes,yes
 واله وضع الاتراك الايام هذي مخيف جدا لان معد تدري وش مكن يسون اكثر ينهبون او يبتزون او او,News,Appearance,no,no
 السلام مع اسراءيل لا يصنعه الا كلاب المصاري النصر لا ياتي الا بالجهاد في سبيل اله,News,Appearance,yes,yes
 اكراما و تقديرا لاميرنا الراحل ابونا الشيخ صباح الاحمد الجابر الصباح اله يرحمه ويغفر له ويسكنه فسيح جناته حرص علي الحضور كاول رءيس دوله الي لصلاه علي جثمان سمو الامير رحمه اله و تاديه واجب العزاء دموعك غاليه و عسي عين شعبك ما تبكيك,News,Appearance,no,no
 قال رسول اله ﷺ من تاب قبل ان تطلع الشمس من مغربها تاب اله عليه رواه مسلم الهم ارزقنا توبه قبل الموت,News,Racial,no,no
 وزراء طاقه مجموعه العشرين القضاء علي فقر الطاقه والعمل لاستقرار الاسواق,News,Racial,no,no
 جلاله الملك المفدي يوجه لاقامه صلاه الغاءب علي امير الراحل بعد صلاه فجر غد الخميس,News,Racial,no,no
 صحيفه عاجل خادم الحرمين الشريفين يبعث برقيه تهنءه عبر تطبيق نبض,News,Racial,no,no
 كسر السوق بالسعر واكل الجو بالحصريات وش تبي اكثر من كذا,Gaming,Racial,no,no
 هودي الي بيعبدو زعماءن حابه اسالن اذا زعيمن قوي واسترجي يقول مين الي فجر او زعيمن كلب متواطء مع باقي الدول,News,Appearance,yes,yes
 جميع الحكومات العربيه سنيه المذهب اليوم اعلنوا عن موافقتهم علي التطبيع مع اسراءيل القيطه ويتهمون شيعه العراق بالخيانه,News,Racial,yes,yes
 تقصير كذب فشل كذب فشل تقصير تقصير فشل كذب 🔁,News,Intelligence,yes,yes
 فنان راقي ربطه بالكوارث تفاه يجهل مطلقها مفهوم التزامن المربك عار عليكم يا عرب ان ترو هذا الفساد في,Celebrities,Racial,yes,no
 بعد في شي ما عملتوا من فقر ذل تجويع ترهيب تشبيح غلاء فاحش مواد متفجره انفجار هاءل قتلي بالمءات وجرحي بالالاف,News,Racial,yes,yes
 وجهت النيابه العامه الوطنيه الفرنسيه لمكافحه الارهاب الثلاثاء تهمه ارتكاب محاوله قتل علي صله بتنظيم ارهابي الي موقوف باكستاني,News,Racial,no,no
 الفلسطينين غالبا مايستاهلون ويجحدون المعروف فعادي خل يتطبعون معهم,News,Racial,yes,yes
 كل مره احمد اله علي تعثر صفقه نبيل فقير,Sports,Racial,no,no
 سلطه خنازير والواقع انو حتي اذا فلو رح يجو ولادن لانو الشباب رح تفل والجيل الصغير انظلم بالتعليم,News,Appearance,yes,yes
 ابن امك قرب,Gaming,Sexual,yes,yes
 الهم اصلح حال البلدان العربيه,News,Racial,no,no
 لا تريد ان تعترف بحجمها قزم بين الدول ونقطه ع الخريطه الغريب انها تدعي بانها تعمل ع تغير الوطن العربي,News,Appearance,yes,yes
 استراحه محارب نستريح بين الفينه والاخري لتيقن من المسار فالاعتماد علي الحكومه لرعايتنا كما كانت تفعل الحكومات القديمه يوما ما هو ضرب من العبث في اجازه عرضيه ودوما لانفارق الكتب والقراءه وحتي تكتمل المكتب هذه دعوه لذين يقتنون الكتب لاكرامنا بماتيسر,News,Racial,no,no
 اكثر الي اهني مدريديه 😂 😂 😂 وينابحون ي خي خلاص طلعت اسكت الحين حبيتو نيمار صج جمهور غبي,Sports,Intelligence,yes,yes
 طز في راح تنزل علي,Gaming,Racial,yes,yes
 🔛 لاعب جديد نادي يطلب معلومات عن الجناح الايسر لنادي جنوي ياغو فالكي بعد فشل المفاوضات مع نادي فلامنجو,Sports,Intelligence,no,no
 تعبيرا عن حبه لفلسطين وايمانه بقضيتها العادله في ظل تسارع حكومات الدول العربيه نحو التطبيع صوره كويتي ينصب خريطه فلسطين امام منزله,News,Racial,no,no
 حزوره اليوم اسود في ساحه الشهداء ارانب ب سبعه ايار من هم,Celebrities,Racial,yes,yes
 معا ضد الفتن اله يحفظ مصر و رءيسها و شعبها الاوفياء و يبعد عنها الفتن ما ظهر منها و ما بطن,News,Racial,no,no
 غفر اله لشيخ صباح الاحمد من قتل مليون عراقي هو الشخص الذي اعطي الاوامر لجيش العراقي لاقتحام بلد امن,News,Racial,no,no
 واضاف ان قضيه فلسطين هي ام القضايا وقضيه جوهريه ولا تحل الا باقامه دوله فلسطينيه في حدود وعاصمتها القدس الشريف,News,Racial,no,no
 نديم الجميل اذا بقي علي كرسيه اخشي ان يكون اخر رءيس مسيحي في بعبدا,News,Racial,no,no
 ترحموا علي المبادره الفرنسيه واربطوا الاحزمه فابواب جهنم فتحت,News,Racial,no,no
 في قلب كل شتاء ربيع نابض وراء كل ليل فجر باسم اسعد اله اوقاتكم 🌹,Celebrities,Racial,no,no
 الهم اعز الاسلام والمسلمين وانصرنا يارب واحمينا من كل غدار يارب,News,Racial,no,no
 صدام مخيف لحظه التزود بالوقود وتحطم فخر سلاح الجو الاميركي,News,Appearance,no,no
 عدو الاسلام والمسلمين عدو لكل عربي حر يدرك افعال هذا الاحمق الساعي الي تدمير الدول العربيه واحتلالها والسيطره علي مواردها,News,Intelligence,yes,yes
 توفي امير ماذا ستقول امام اله يا شيخ عندما يسالك عن تايدك الذي قتل المسلمين و تسليمك لسعوديه و منعك من تجنيس وهم من اهل البلد,News,Racial,no,no
 اشرقت شمس صباح الاحمد منذ اكثر من عقود عطاء وتواضع واخلاق وطيبه كثيرتبسم اذا حضراسعدمن حوله بطيب الكلام واحسنه واذاغادرتجدفقدان الاب الحنون جبراله خوطركم وخواطرنا في فقدركن من اركان السلام,News,Appearance,no,no
 هد عد من الموقوفين في سجن روميه في بشنق انفسهم مطالبين باقرار عفو عام مع ازدياد عد المصابين بفيروس داخل السجن,News,Racial,no,no
 التطبيع مع اسراءيل لن ينسينا ان فلسطين هي قضيه العرب والمسلمين الاولي لذلك لاضير ان طبعت الامارات مع اسراءيل,News,Racial,no,no
 الخبيره في الشان الاقتصادي جنات بن عبد اله ازمه اظهرت عجز الدول العربيه والناميه عن تامين الحقوق الاقتصاديه لمواطنيها,News,Racial,no,no
 الناءب رولا الطبش اباده جماعيه بحق الشعب البناني ماعاد فينا اليوم نكذب علي الشعب ماحدا يكذب علينا,News,Appearance,no,no
 جسد بلا روح وخطوه لافته من اطفاله تجاه المتضرين,Celebrities,Sexual,no,no
 ومين اهبل يقعد مع حرامي وبلطجي علي حوار,News,Intelligence,yes,yes
 عين هنا وعين هناك الشوط الاول كامل الهلال ابشوف والشوط الثاني اله يعين تعارض المباراتين 😭 😭 بالتوفيق لهلال,Sports,Appearance,no,no
 الامير امير يعزف عود وكمنجه ويطبخ طباخ شي متاز ان زعيم عربي يعرف يعزف ملينا من افكار القذره الذين يحرمون الجمال في كل شي الدواعش حتي الان يحاولون تدعيش المجتمع,News,Racial,yes,yes
 كاظميات ⭕ يكلك الكاظمي من شايف فيديو ذبح الشهيد الي ذبحه داعش بكركوك ضارب الميز وكاسر ايده كايلهم هسه تطلع قوه ضاربه من مكافحه الارهاب مدعومه بالطيران تدور علي سجاد بالناصريه,News,Racial,no,no
 الصين فشل اطلاق قمر صناعي لاستشعار عن بعد,News,Intelligence,no,no
 انتشرت اشاعه ان اكسبوكس راح تحتكر جوده ال ولكن طلعت غير صحيحه وانا اشوف ان احتكار الجوده شيء غبي جدا,Gaming,Intelligence,yes,yes
 الان تم اطلاق سراح عبد الحميد الكزه رءيس الجنه التاسيسيه ل الهيءه البرقاويه الذي داهمته قوه في في منزل بتونس مساء امس الاثنين واعتقلته رفقه فوزي الرفادي واشخاص اخرين بينهم من ينتمي الي قبيله المغاربه,News,Racial,no,no
 وزير الداخليه الاسراءيلي ان حكام العرب في التوراه هم مثل حمار موسي الذي يجب ان يركب لوصول الي الوجه النهاءيه وانه يجب تقديم علف عالي الجوده وسروج باهظه الثمن لركوب هذه الحيوانات فكيف الحمار يصبح زعيما,News,Intelligence,yes,yes
 الكوليز جايبين ضهير اول مره نسمع فيه و اغلبهم فرحانين بشكل غريب مدري هي قناعه ولا غباء,Sports,Intelligence,yes,no
 غبي وتافه جدا,Celebrities,Intelligence,yes,yes
 الاحمق لن يهدا الا عندما يري سفينه التنقيب خاصته معلقه علي سيخ شاورما,News,Intelligence,yes,yes
 استقاله نواب اليكود وابيض اسود احمر منهم ما في من البرلمان البناني,News,Racial,no,no
 ادلي الرءيس عبد المجيد تبون بتصريح انه سيتم انشاء اكبر ملعب في افريقيا لاستقبال فرقه بي تي اس,News,Racial,no,no
 الشيعه كفار و المسحين كفار بنص القران الكريم و لكن نحن نقف مع المظلوم و نصره و ان كان كافر وضد الظالم و ان كان وفي هذه القضيه هي المظلوم و هي الظالم و المعتدي ولا نطبل ل لانه مع اذربيجان وضد ارمينيا نحن ضدالظلم,News,Racial,yes,yes
 اذا تاهل قدام راح يرفع الابطال فكرت استبعاد البرشا بوجود ميسي شي من الجنون خصوصا وانه التاهل من مباره وحده,Sports,Intelligence,yes,no
 وش دخل يا كلب شكلك غنوشي اخواني ماسوني,News,Appearance,yes,yes
 كل دول بهايم واقفه مع الخول ده 😳 😅 😅,News,Sexual,yes,yes
 اخبار النصر بيتي مارتينيز يوبخ زميله كم انت مجنون,Sports,Intelligence,yes,yes
 اله لا يرحمه واله ياخذ بحق كل مسلم طاله اذيه منه الهم حاسبه حسابا عسيرا علي كذبه واستخدامه لدين لماربه ومارب الخونه الهم انه ومن معه عاثوا في الارض واكثروا فيها الفساد فالهم سلط عليهم نار جهنم وعذابا لا نهايه له,News,Racial,yes,yes
 هيا الشعيبي تكشف عن فشل عمليه جراحيه خضعت لها مءخرا,Celebrities,Intelligence,no,no
 يعني حرام لو كان في قمه عربيه بمرفا بيروت وراحوا كل الخونه قشه لفه بدل الناس الحلوه الي راحت 😪,News,Racial,yes,yes
 بيان امير عنزه بخصوص الشخص الفارسي المدعو جواد الهذال,News,Sexual,no,no
 اطلاق نار خلال اشكال في مخيم عين الحلوه,News,Appearance,no,no
 جول مجنون من فاردي بالكعب علي,Sports,Intelligence,no,no
 🆕 جديد سوق الانتقالات ديباي الي بعد فشل صفقه مارتينيز وازمه بيل مستمره في,Sports,Intelligence,no,no
 هدف غبي ماله داعي,Sports,Intelligence,yes,no
 التنمر علي ازياء المشاهير هنا شيء جدا مقز متي اشوف الناس وخصوصا العرب الجرب يتصالحوا مع انفسهم ويتركوا الناس واذواقهم مسوين انهم مختمين الموضه بتنقصهم من ستايلات غيرهم ياتقولوا كلام كويس ياتسكتوا,Celebrities,Appearance,yes,yes
 اليهود وسخ العالم اوسخ من اليهود ايران اوسخ من الجوز شراميط التطبيع,News,Sexual,yes,yes
 في اتنين اجانب لابسين ابيض هموت ادخل اكوي لهم هدومهم بجد 🤨 😂,Celebrities,Racial,no,yes
 جوزيف ابو فاضل عم يدافع اليله عن سعد الحريري عال بحلقه اكتر من محمد نمر نفسه ما ذكرني غير بالاعلامي ابراهيم عيسي الي هاجم عبد الناصر لدرجه اعجزت المدافعين عنو و رجع كتب مقال دافع فيه عن عبد الناصر اعجز فيه المنتقدين بلد العجايب,Celebrities,Racial,no,no
 من الامير عبد العزيز بن تركي الفيصل وزير الرياضه يقدم مكافاه ماليه قدرها الف ريال لكل لاعب من لاعبي في حال بلوغهم نهاءي دوري ابطال اسيا,News,Racial,no,no
 القاء القبض علي قاتل الطفله نعيمه,News,Racial,no,no
 ️فواءد القهوه ☕ ✅ تحسين مستويات الطاقه ورفع مستوي الذكاء ✅ تحفيز حرق الدهون ✅ تحسين الاداء البدني ✅ تقليل خطر الاصابه بالسكري من النوع الثاني,News,Racial,no,no
 ⭕ ️ 🔰 سفراء دول عربيه سيحضرون غدا في اجتماع بالسفاره البريطانيه لبحث تطورات استهداف البعثات الدبلوماسيه,News,Racial,no,no
 يلعن ابو هالمناخ الي بيتمتع في عندوا مناخين واحد داخلي واحد خارجي هلكوا السما تبعنا يحكوا عن الن يومين,News,Racial,yes,no
 اقسم باله العظيم تيشرت اكبر منه لاعب فاشل,Sports,Intelligence,yes,yes
 🚨 الخمسه الكبار الاتحاد الشباب الاتفاق الاهلي ✔ ️ تصدروا مجموعات اسيا ❌ فشل النصر ✔ ️ حقوا بطولات,Sports,Intelligence,no,no
 الهم اني اسالك ان تصب العافيه في جسد والدي واهلي اجمعين وتحفطنا وجميع المسلمين من شر هذا الوباء,News,Sexual,no,no
 الي يبي يشوف قله الادب علي اصولها يدخل حساب و يقرا التعليقات تخلف عافانا اله,Celebrities,Intelligence,yes,yes
 بدنا السنيوره بعد يزير ماليه تيمشي الحال شي مقرف جدا,Celebrities,Appearance,yes,yes
 كرش ودهون كواليس جلسه تصوير تكشف الوزن الحقيقي لمريم حسين,Celebrities,Appearance,yes,yes
 امير الكويت فاشل وحكم ال الصباح استبداي الجزء الثاني,News,Intelligence,yes,yes
 ارفع لمقام مولاي خادم الحرمين الشريفين وسمو سيدي ولي العهد حفظهم اله الشكر والتقدير علي الدعم السخي المتمثل بتمديد الدعم لمده ثلاثه اشهر اضافيه لعاملين السعودين في منشات القطاع الخاص المتاثره من تداعيات فيروس وهو ما يسهم في تخفيف اثار الوباء علي تلك القطاعات,News,Racial,no,no
 حمير مجرد اهل شعارات زاءفه,News,Intelligence,yes,yes
 التطبيع مع الكيان كان قبل عام حين باع عرابين القضيه تراب ارضنا بشكل لعين,News,Racial,yes,yes
 اقترح اعلان اليوم المكمل ل تشرين الثاني عيد الاستقلال المزعوم بعد فشل فرنسا ومبادرتها المشءومه,News,Intelligence,no,no
 تسارع الاحداث في العالم هذا العام مخيف من حراءق امراض حروب تغير في المناخ والكسوف الحلقي مرتين في سنه واحده,News,Appearance,no,no
 التطبيع اصبح علي مكشوف متي تصتفيق هذه الامه الا يكفي فلسطين الاستيطان الاسراءيل حتي يغذر بها من طرف دول عربيه ⁦ 🇩 🇿 ⁩,News,Racial,no,no
 الي الهاويه دامه البغل مولاهم 😄 🤣,News,Appearance,yes,yes
 خادم الحرمين اصدر توجيه باقامه صلاه الغاءب علي صاحب السمو الشيخ صباح الاحمد الجابر الصباح بالحرمين الشريفين بعد صلاه العشاء,News,Racial,no,no
 تسقطون وتسقط عروبتكم وتسقط رءسكم يا كلاب العرب كلاب العرب وانجسهم فلسطين عربيه,News,Appearance,yes,yes
 الف لاجء مقيمين انقاذ الف مهاجر غير شرعي منذ بدايه امام السواحل اليبيه وتسب غرق قارب يقل عشرات المهاجرين غير الشرعين قباله السواحل اليبيه الجمعه الماضي في فقدان مهاجرا وفاه اخرين لتفاصيل,News,Racial,no,no
 اغنيه حصريا علي كلمات منه القيعي الحان عبد الرحمن رشدي توزيع النابلسي,Celebrities,Racial,no,no
